,year,Stations_Id,mingrad,maxgrad,minday,maxday
0,2021,7824,2021-10-16,2021-11-09,2021-09-02,2021-05-25
1,2021,7807,2021-03-25,2021-11-04,2021-09-01,2021-11-04
2,2021,7803,2021-09-13,2021-06-05,2021-05-16,2021-11-08
3,2021,7799,2021-05-09,2021-11-09,2021-06-18,2021-11-09
4,2021,7772,2021-10-08,2021-11-05,2021-04-19,2021-11-05
5,2021,7761,2021-08-09,2021-11-05,2021-08-29,2021-11-05
6,2021,7759,2021-03-30,2021-10-08,2021-09-26,2021-11-01
7,2021,7741,2021-07-15,2021-10-07,2021-07-31,2021-07-11
8,2021,7737,2021-09-18,2021-09-02,2021-08-29,2021-11-09
9,2021,7736,2021-06-25,2021-11-08,2021-07-15,2021-04-14
10,2021,7730,2021-03-30,2021-11-09,2021-11-01,2021-03-30
11,2021,7711,2021-04-27,2021-11-09,2021-10-04,2021-11-09
12,2021,7700,2021-08-17,2021-11-09,2021-07-08,2021-11-09
13,2021,7686,2021-09-14,2021-10-04,2021-09-26,2021-05-17
14,2021,7646,2021-08-01,2021-10-12,2021-09-02,2021-10-24
15,2021,7642,2021-09-26,2021-09-06,2021-05-21,2021-09-10
16,2021,7624,2021-06-23,2021-11-10,2021-09-07,2021-11-10
17,2021,7623,2021-07-31,2021-05-16,2021-05-04,2021-10-03
18,2021,7566,2021-07-13,2021-10-09,2021-08-14,2021-11-02
19,2021,7532,2021-08-04,2021-09-09,2021-09-01,2021-06-13
20,2021,7521,2021-08-29,2021-11-05,2021-06-10,2021-10-08
21,2020,7824,2020-11-11,2020-10-06,2020-07-10,2020-11-07
22,2020,7807,2020-04-10,2020-04-02,2020-10-03,2020-04-06
23,2020,7803,2020-07-31,2020-09-21,2020-08-04,2020-05-24
24,2020,7799,2020-09-13,2020-09-29,2020-05-12,2020-04-06
25,2020,7772,2020-10-07,2020-03-25,2020-04-18,2020-04-02
26,2020,7761,2020-07-27,2020-10-07,2020-07-31,2020-04-02
27,2020,7759,2020-10-31,2020-11-12,2020-06-25,2020-10-07
28,2020,7741,2020-07-07,2020-03-25,2020-07-31,2020-04-02
29,2020,7737,2020-09-01,2020-03-25,2020-08-08,2020-11-08
30,2020,7736,2020-07-31,2020-08-20,2020-08-12,2020-09-01
31,2020,7730,2020-06-13,2020-10-03,2020-07-31,2020-05-28
32,2020,7711,2020-11-08,2020-09-29,2020-06-25,2020-10-23
33,2020,7700,2020-04-14,2020-06-29,2020-09-29,2020-07-11
34,2020,7686,2020-09-05,2020-09-25,2020-09-21,2020-08-28
35,2020,7646,2020-10-25,2020-06-23,2020-06-03,2020-08-06
36,2020,7642,2020-09-19,2020-11-06,2020-11-02,2020-09-03
37,2020,7624,2020-07-11,2020-03-25,2020-08-04,2020-04-10
38,2020,7623,2020-11-08,2020-10-15,2020-07-27,2020-10-31
39,2020,7566,2020-05-16,2020-07-11,2020-06-01,2020-09-05
40,2020,7532,2020-07-27,2020-09-21,2020-08-04,2020-05-16
41,2020,7521,2020-09-01,2020-03-25,2020-07-27,2020-11-08
42,2019,7824,2019-07-15,2019-08-08,2019-05-16,2019-07-07
43,2019,7807,2019-07-19,2019-03-29,2019-04-14,2019-07-11
44,2019,7803,2019-10-15,2019-11-08,2019-06-09,2019-08-04
45,2019,7799,2019-08-06,2019-03-31,2019-06-27,2019-04-08
46,2019,7772,2019-08-10,2019-03-31,2019-03-31,2019-08-10
47,2019,7761,2019-09-09,2019-09-01,2019-09-17,2019-03-29
48,2019,7759,2019-05-18,2019-07-01,2019-04-16,2019-07-29
49,2019,7741,2019-07-21,2019-11-10,2019-08-18,2019-11-10
50,2019,7737,2019-06-15,2019-07-21,2019-08-26,2019-05-30
51,2019,7736,2019-09-09,2019-09-01,2019-09-21,2019-07-31
52,2019,7730,2019-11-14,2019-10-25,2019-04-24,2019-08-06
53,2019,7711,2019-11-10,2019-08-06,2019-08-06,2019-10-09
54,2019,7700,2019-09-15,2019-09-03,2019-11-10,2019-09-15
55,2019,7686,2019-10-29,2019-03-31,2019-06-19,2019-10-09
56,2019,7646,2019-04-28,2019-04-20,2019-05-14,2019-07-25
57,2019,7642,2019-07-09,2019-07-25,2019-07-21,2019-08-06
58,2019,7624,2019-06-21,2019-11-08,2019-04-14,2019-11-08
59,2019,7623,2019-03-26,2019-09-18,2019-11-09,2019-03-26
